"Nid","Title","theme camp","Activity Categories","Long Blurb for website / app","Scheduled activities","Short blurb for the WTF Guide","Type","latitude","longitude","Infustructure"
"6277","Theme Camp Form 3 - WTF Guide 6277","","Adult, Family Friendly, For the Kids, Game / Sport","Ever fancied yourself as Andre Agassi or Maria Sharapova? Now is your time to live out your fantasy.
Head over to LOVE ALL TENNIS COURT anytime of the day or night, pick up a racket and test your tennis skills. Bring your friends, or make some new ones on the court.
If you make a visit on Saturday afternoon there will be a refreshment on offer too

Open from 9am to 11pm daily. 
Camp fire going from sunset....","","Ever fancied yourself as Andre Agassi or Maria Sharapova? Now is your time to live out your fantasy.
Head over to LOVE ALL TENNIS COURT anytime of the day or night, pick up a racket and test your tennis skills. Bring your friends, or make some new ones on the court.
If you make a visit on Saturday afternoon there will be a refreshment on offer too

Open from 9am to 11pm daily. 
Camp fire going from sunset....","Theme Camp Form 3 - WTF Guide","","",""
"6274","Theme Camp Form 3 - WTF Guide 6274","","Musical Collaberation, Party / Gathering","Pompeii is in its third year, but 2017 is seeing a big lift in the music department with stage, rig, amps and gear with our resident happy musos, Burn Band and other displaced Temple of Rock wanderers.....come and relax on our lawn, in our pools; jam with us......share the love - that's why we're there.......we get going mid-dayish and just kind of carry on from there......","Start Hour: 12Finish time: 19Description: Every day....12.00(ish) is when we start at Buitekring at 2'ish....indulge in some music by Burn band and all manner of inbound musos wanting to share their chops with you - decadent atmosphere of pools, lawns and general happiness....","Pompeii returns, with pools, stage, live music  - musicians welcome to come and show us their chops in the most decadently comfortable camp at the Burn.....we're jamming afternoons, early evenings and well......see where we go from there....","Theme Camp Form 3 - WTF Guide","","",""
"6271","Theme Camp Form 3 - WTF Guide 6271","","Party / Gathering","Tired of the zoo? Come to the circus! From the folks who brought you sunset magic sprinkles at 4ish - it’s High T at the High Top. Same kicking tunes, same sunset bliss, all new freak show. 

Find the mysteriously mobile circus tent pulling a cage of purring panthers pandering to erratically erotic ellies while a half hidden Houdini escapes, again, from a bevy of ludicrously lascivious alliterations. 

Get trapped with ease while our high, wired artists dazzle with their sazzle, we juggle your cuddles, and our contortionist does ballshovist your jorkgorvisht. Comprende? 

We don’t have bears on bicycles but do have belly dancers on tricycles. And clowns? Move over Rudolph. 

Tasty beats from the Ringmaster with the bling blaster to bazooka you through your zing faster. 

Dress in red and white and black and gold if clothes are your thing. Dress in pink and white and black and brown if they’re not. 

Find us on the far side of the moon - half way to the mountain. 

(If you’ve never done a handstand on your pencil - Friday night may be your lucky night.) 

Don’t miss the midgets and while on the subject take care of your possessions; teeny fingers, the smell of cabbage, and the dusty air of a circus dance floor drives them beyond the realm of the naturally explicable.  

Less informed than you were 3 minutes ago? Come for a sunkiss at the circus - out near the lighthouse on Friday before sunset. Zap Kablat. 
","Day: FridayStart Hour: 4Finish time: 9Description: Camp High T's usually sunset party session. 4 hours, 4 DJ's, mobile art cars and circus dress up. ","Tired of the zoo? Come to the circus! From the folks who brought you sunset magic sprinkles at 4ish - it’s High T at the High Top. Same kicking tunes, same sunset bliss, all new freak show. We don’t have bears on bicycles but do have belly dancers on tricycles. Tasty beats from the Ringmaster with the bling blaster to bazooka you through your zing faster. Dress in red and white and black and gold if clothes are your thing. Dress in pink and white and black and brown if they’re not. Find us on the far side of the moon - half way to the mountain, by the big T, out near the lighthouse on Friday 4ish. Zap Kablat. ","Theme Camp Form 3 - WTF Guide","","",""
"6270","Theme Camp Form 3 - WTF Guide 6270","","Party / Gathering","Camp Skaduwee is a regular feature on the Binnekring - the bright orange stretch tents provide you with a home away from home. A place to meet, rest, reconnect and of course enjoy the most amazing musical journey under our shade. From early morning yoga at 9am to an awesome mix of local and international DJs. Starting at 2pm every day, you'll be so grateful that you found us. ","Day: TuesdayStart Hour: 2Finish time: 12Description: Morning yoga at 9am and the best selection of local and international DJs. Love, dust and music all day every day. ","Camp Skaduwee is a regular feature on the Binnekring - the bright orange stretch tents provide you with a home away from home. A place to meet, rest, reconnect and of course enjoy the most amazing musical journey under our shade. From early morning yoga at 9am to an awesome mix of local and international DJs. Starting at 2pm every day, you'll be so grateful that you found us. ","Theme Camp Form 3 - WTF Guide","","",""
"6268","Theme Camp Form 3 - WTF Guide 6268","","Family Friendly, Food / Drink, For the Kids, Game / Sport, Party / Gathering, Workshop / Class","We explore the idea of Play by introducing participants to the state of flow, where play resides, in the present moment, experiencing bliss: Talks and workshops to gather deeper wisdom into the physical and metaphysical, science, psychology and the human condition, through understanding and expression, moving into higher states of being. Movement, interaction, games, play and learning. Apply and be interviewed for your certificate of citiZENship. Daily sessions in the morning and the afternoon, see boards at camp for detail. Sunset tail-shaking with cocktails and more. Visit our Potions Bar, and have a boogie on Tuesday & Thursday night 21:00-00:00, plenty dancing and LED games to be had.
","Day: ThursdayStart Hour: 10Finish time: 19Description: Daily: Tuesday - Saturday 
All day - Outdoor games
Morning - Rise & shine movement medicine
Mid-morning - Connection workshops
Afternoon - Giant outdoor games
Sunset Ode to Bliss - DJ sets; deep word music, funk, disco
Pop-up Potions Bar - Bring Your Own Cup (BYOC), Day: TuesdayStart Hour: 21Finish time: 24Description: POTIONS & MOTIONS
Potions bar, boogie, and glow in the dark LED games
DJ Sets - funk, disco, swing
Bring Your Own Cup (BYOC), Day: ThursdayStart Hour: 21Finish time: 24Description: FUNK & FURS
Wild animals welcome; leopard print & animal stripes encouraged 
Potions bar, boogie, and glow in the dark LED games
DJ Sets - funk, disco, swing
Bring Your Own Cup (BYOC), Day: TuesdayStart Hour: 10Finish time: 19Description: Daily: Tuesday - Saturday 
All day - Outdoor games
Morning - Rise & shine movement medicine
Mid-morning - Connection workshops
Afternoon - Giant outdoor games
Sunset Ode to Bliss - DJ sets; deep word music, funk, disco
Pop-up Potions Bar - Bring Your Own Cup (BYOC), Day: WednesdayStart Hour: 10Finish time: 19Description: Daily: Tuesday - Saturday 
All day - Outdoor games
Morning - Rise & shine movement medicine
Mid-morning - Connection workshops
Afternoon - Giant outdoor games
Sunset Ode to Bliss - DJ sets; deep word music, funk, disco
Pop-up Potions Bar - Bring Your Own Cup (BYOC), Day: FridayStart Hour: 10Finish time: 19Description: Daily: Tuesday - Saturday 
All day - Outdoor games
Morning - Rise & shine movement medicine
Mid-morning - Connection workshops
Afternoon - Giant outdoor games
Sunset Ode to Bliss - DJ sets; deep word music, funk, disco
Pop-up Potions Bar - Bring Your Own Cup (BYOC), Day: SaturdayStart Hour: 10Finish time: 19Description: Daily: Tuesday - Saturday 
All day - Outdoor games
Morning - Rise & shine movement medicine
Mid-morning - Connection workshops
Afternoon - Giant outdoor games
Sunset Ode to Bliss - DJ sets; deep word music, funk, disco
Pop-up Potions Bar - Bring Your Own Cup (BYOC)","We explore the idea of Play by introducing participants to the state of flow, where play resides, in the present moment, experiencing bliss: Talks and workshops to gather deeper wisdom into the physical and metaphysical, science, psychology and the human condition, through understanding and expression, moving into higher states of being. Movement, interaction, games, play and learning. Apply for your certificate of citiZENship. Daily sessions in the morning and the afternoon, see boards at camp for detail. Visit our Potions Bar, and have a boogie on Tuesday & Thursday night 21:00-00:00, plenty dancing and LED games to be had.","Theme Camp Form 3 - WTF Guide","","",""
"6261","Theme Camp Form 3 - WTF Guide 6261","","Family Friendly, For the Kids, Game / Sport","Arrive at our camp from 11ish -
​To start an adventure that could grant every desert wish!
There will be ​a ​board with a clever clue,
That will tell you what you’re going to do...
Follow a winding, intriguing path,
Which we hope will include a bit of a laugh;
You’ll discover the fabulous magical space,
That makes the Burn such an extraordinary place!
There’ll be magic and mayhem and spectacle and love - 
Absolutely nothing to tire of!
And when you return, your quest at an end,
We'll call Victory and make you our friend!!!

Treasure hunts daily from ​11am until 4pm! Arrive anytime and follow our devilishly clever clues that will lead you on a magical trail through the epic delights and fabulous hideaways of the Tankwa camp. This year, there will be some beautiful treasures to collect too. A steady supply of love, mayhem and fantasy on tap - come and chill, visit and play with us!","Day: TuesdayStart Hour: 11Finish time: 16Description: Tuesday Treasure Hunt, with clues you follow and prizes!, Day: WednesdayStart Hour: 11Finish time: 16Description: Wednesday Treasure Hunt, with clues you follow and prizes!, Day: ThursdayStart Hour: 11Finish time: 16Description: Thursday Treasure Hunt, with clues you follow and prizes!, Day: FridayStart Hour: 11Finish time: 16Description: Friday Treasure Hunt, with clues you follow and prizes!, Day: SaturdayStart Hour: 11Finish time: 16Description: Saturday Treasure Hunt, with clues you follow and prizes!, Day: SaturdayStart Hour: 11Finish time: 16Description: Mega hunt - this runs all week but culiminates on Saturday - many clues and devilish challenges!","Arrive at our camp from 11ish -
​To start an adventure that could grant every desert wish!
There will be ​a ​board with a clever clue,
That will tell you what you’re going to do...
Follow a winding, intriguing path,
Which we hope will include a bit of a laugh;
You’ll discover the fabulous magical space,
That makes the Burn such an extraordinary place!
There’ll be magic and mayhem and spectacle and love - 
Absolutely nothing to tire of!
And when you return, your quest at an end,
We'll call Victory and make you our friend!!!","Theme Camp Form 3 - WTF Guide","","",""
"6256","Theme Camp Form 3 - WTF Guide 6256","","Party / Gathering","Need a rest on your intergalactic journey? Come chill with the Space Cowboys in our uber cool camp. We can offer you a drink, some groovy inter-planetary tunes, and the best company this side of space. We welcome all kinds of stars and universal freaks.
And Thursday night? You don’t want to miss the party to end all parties. Join us for cosmic cataclysm fun times.","","Need a rest on your intergalactic journey? Come chill with the Space Cowboys in our uber cool camp. We can offer you a drink, some groovy inter-planetary tunes, and the best company this side of space. We welcome all kinds of stars and universal freaks.
And Thursday night? You don’t want to miss the party to end all parties. Join us for cosmic cataclysm fun times.","Theme Camp Form 3 - WTF Guide","","",""
"6255","@Play","","","","","","Artwork Registration","","",""
"6254","Erniebody els wanna ride?","","","Its erniebody else wanna ride. Catch us in tankwa town to see if you can make the put. catch a ride and a free refresher if you do.","","Its a golf cart that will be rolling around tankwa town. Catch us to see if you can make the put. ","Mutant Vehicles","","",""
"6249","The Fire Engine","","","Come along for a musical ride along the Binnekring with the brightest yellow in the Tankwa.  the Fire Engine will light up your musical fire daily.  This replica of a 1970's style fire engine has heart and soul and with its stylish steam punk type top hat, no one will miss this larger than life pair of wheels.  The Fire Engine will provide a number of music styles and will cater to everyone's taste.  ","","Come along for a musical ride along the Binnekring with the brightest yellow in the Tankwa.  the Fire Engine will light up your musical fire daily.  This replica of a 1970's style fire engine has heart and soul and with its stylish steam punk type top hat, no one will miss this larger than life pair of wheels.  The Fire Engine will provide a number of music styles and will cater to everyone's taste.  ","Mutant Vehicles","","",""
"6248","Theme Camp Form 3 - WTF Guide 6248","","Workshop / Class","Come join us in learning at The Burniversity!

The faculty of The Burniversity will hold lectures and workshops on topics such as: Yoga (we have THE BEST instructress), Mindfulness for beginners, Responsible Drug Use (unity.nl is in the house!), making fire with sticks and Some Really Interesting Math Proofs.

Guest professors are extremely welcome, please come visit our camp to arrange times and topics.

We might or might not award degrees and/or professorships.

Workshops and lectures will be held on Tuesday to Friday usually in the period from 11:00 to 15:00. Please check the board!
","Day: TuesdayStart Hour: 11Finish time: 15Description: Various workshops, often starting with Yoga. Please check the board., Day: WednesdayStart Hour: 11Finish time: 15Description: Various workshops, often starting with Yoga. Please check the board., Day: ThursdayStart Hour: 11Finish time: 15Description: Various workshops, often starting with Yoga. Please check the board., Day: FridayStart Hour: 11Finish time: 15Description: Various workshops, often starting with Yoga. Please check the board.","Come join us in learning at The Burniversity!

The faculty of The Burniversity will hold lectures and workshops on topics such as: Yoga (we have THE BEST instructress), Mindfulness for beginners, Responsible Drug Use (unity.nl is in the house!), making fire with sticks and Some Really Interesting Math Proofs.

Guest professors are extremely welcome, please come visit our camp to arrange times and topics.

We might or might not award degrees and/or professorships.

Workshops and lectures will be held on Tuesday to Friday usually in the period from 11:00 to 15:00. Please check the board!
","Theme Camp Form 3 - WTF Guide","","",""
"6247","Theme Camp Form 3 - WTF Guide 6247","","Game / Sport","Geodesic Playground Theme Camp is situated on the edge of Tankwa Town overlooking the majestic Tankwa Landscape, where geological time stands still. Come and visit our psychedelic Geo domes anytime to chill, bring your own cup for fresh honey bush tea, and play backgammon, chess, bananagram and card games. Between  2 pm and 4 pm daily there are Silly games, Hula-limpics, Musical laps, Baby oil twister, White Chess and many more. See our board at the entrance to our camp for more information about the Silly Games of the day, and time changes. You are also invited to bring your own Silly game and silly friends.","Start Hour: 14Finish time: 16Description: Take part in our Silly Games, Hula-limpics, Musical laps, Baby oil twister, White chess and many more. ","Visit our camp anytime, chill in our psychedelic Geo domes on the edge of the Tankwa, bring your own cup for fresh honeybush tea. Between 2 pm and 4 pm join us for silly games, Hula-limpics, Musical laps, Baby oil twister, White chess, back and front gammon and many more, see the board outside our tent for more silly game information.","Theme Camp Form 3 - WTF Guide","","",""
"6245","ChockyBot V17","","","","","","Artwork Registration","","",""
"6244","Theme Camp Form 3 - WTF Guide 6244","","Family Friendly, Food / Drink, For the Kids, Musical Collaberation, Workshop / Class","Need to add THAT much more colour to your life? Well then come on over to the Spectrum side where we promote lounging around in a kaleidoscope of colours. And if you wanna do a little more than just lounging...colour yourself with colouring-in books, make origami, rainbow paint your nails, embellish your skin with tattoos, or unbored urself (yeah, right) with some board games. Morning times will provide friendly morning cocktails and sometimes breakfast. Come stick your paws in the sweeti-jars anytime. Afternoons will provide some deep sessions to connect to your colourful spirit :) Night times will provide a fairy-light wonderland, some fire, around the fire instruments, marshmellows and Amarula hot chocolate  - so pull in to the Spectrum side - we've got cookies! (And also Re-Hydrate :) ) Enquire about recruitments for The Naked Spectrum Artwalk at any time. Open Daily (excluding Friday): 09:30am-11:30am - Morning Cocktails ; 2:00pm-5:00pm - Soulful Sessions (pls check board) Night times: Fire and around the fire jamming sessions ; Tuesday, Thursday and Sunday 9:30-11:30 - Breakfast will be served ; Friday: The Naked Spectrum Artwalk meeting and body-painting session to commence at 12:00pm","Day: MondayStart Hour: 9Finish time: 11Description: Monday Bloody Mary Monday!, Day: MondayStart Hour: 2Finish time: 4Description: Add some colour to that faysh - faysh-painting will be in the ""house""! , Start Hour: 7Finish time: 12Description: Evening fairy-light wonderland and around the fire jamming sessions!
Fire up a marshmellow or two! Drink a cuppa delish Amarula Hot Chocolate, or minus the Amarula, even., Day: TuesdayStart Hour: 9Finish time: 11Description: Tequila Sunrise Tuesday!
Hungry? Let us om-nom-nom-elette you!, Day: TuesdayStart Hour: 2Finish time: 5Description: Join in on a Family Constellation session followed by Numerology. (pls check board), Day: WednesdayStart Hour: 9Finish time: 11Description: Screwed Drivers Wednesdays! (But please don't drive if you are screwed).  *lounging is permitted, Day: WednesdayStart Hour: 1Finish time: 5Description: Receive information regarding the Jungian education and process and leap into some inner child work. 
This will be followed by tarot readings and info on lucid dreaming. (pls check board), Day: ThursdayStart Hour: 9Finish time: 11Description: Tequila Sunrise Thursdays and more om-nom-nom-elettes!, Day: ThursdayStart Hour: 12Finish time: 5Description: Zen out with a meditation workshop followed by a guided meditation and mantra session. 
Liberate yourself with some Emotional Freedom Training (EFT).
(Pls check board), Day: FridayStart Hour: 12Finish time: 6Description: All those who are colouring themselves to be apart of THE NAKED SPECTRUM please report to The Spectrum Lounge for a briefing and a de-briefsing to get your colour on in preparation to become a Naked Moving Spectrum and saunter through the playa in celebration of liberation and saying thanks by colouring in the amazing skin you are in! , Day: SaturdayStart Hour: 9Finish time: 11Description: Mimosa Sat-your-days. Bubble bubble, toil and orange juice!, Day: SaturdayStart Hour: 2Finish time: 5Description: Get deep with some cranio-sacral therapy or come reeeelax with a neck and shoulder massage. (Pls check board), Day: SundayStart Hour: 9Finish time: 11Description: Morning cocktail leftovers! What evers leftovers, we're making. But don't worry, we making 'em fresh! Also, what's a Sunday without a lekker pannekoek?! Maak 'n draai in heirdie hoek!","Need to add THAT much more colour to your life? Well then come on over to the Spectrum side where we promote lounging around in a kaleidoscope of colours. And if you wanna do a little more than just lounging...colour yourself with colouring-in books, make origami, rainbow paint your nails, embellish your skin with tattoos, or unbored urself (yeah, right) with some board games. Morning times will provide friendly morning cocktails and sometimes breakfast. Come stick your paws in the sweeti-jars anytime. Afternoons will provide some deep sessions to connect to your colourful spirit :) Night times will provide a fairy-light wonderland, some fire, around the fire instruments, marshmellows and Amarula hot chocolate  - so pull in to the Spectrum side - we've got cookies! (And also Re-Hydrate) Enquire about recruitments for The Naked Spectrum Artwalk at any time. Open Daily (excluding Friday): 09:30am-11:30am - Morning Cocktails ; 2:00pm-5:00pm - Soulful Sessions (pls check board) Night time - Fire and around the fire jamming sessions ; Tuesday, Thursday and Sunday 9:30-11:30 - Breakfast will be served. ; Friday: The Naked Spectrum Artwalk meeting and body-painting session to commence at 12:00pm","Theme Camp Form 3 - WTF Guide","","",""
"6243","Theme Camp Form 3 - WTF Guide 6243","","Family Friendly, Party / Gathering","Our Tankwa Game Toy is a 4m high interactive DJ booth made for play!  We will be rocking the desert from 2pm - 11pm, with an eclectic mix of DJs from the UK, Canada, Germany and South Africa scheduled to play on different days - keep an eye out for our magic chalk board where we'll list what's on.  When there is no DJ playing we will be putting out some of our very own happy melodic grooves!","Start Hour: 16Finish time: 19Description: DJ sets will mainly be between 4-7pm throughout the week - think big smiles and sundowners! The rest of the time we will be spinning our own tunes to make sure your feet stay very dusty.","Come  play with our Tankwa Game Toy from 2pm-11pm.  We will have various DJs both international and local playing throughout the burn between 4pm - 7pm, these will be scheduled on our chalk board.  Our Game Toy comes with other bells and whistles too...! We look forward to partying with you all soon!","Theme Camp Form 3 - WTF Guide","","",""
"6242","miniVUVU","","","baby VUVU. :))) ","","TUK TUK- baby VUVU. ","Mutant Vehicles","","",""
"6241","Theme Camp Form 3 - WTF Guide 6241","","Family Friendly, For the Kids, Musical Collaberation, Party / Gathering, Workshop / Class","Everything turns, rotates, spins, circles, loops, pulsates, resonates, and repeats. Circles of life, born from pulses of light. Vibrate to breathe, while spiralling outwards for infinity through the lens of time and into a sea of stars and lucid dreams. We go in circles every day. Within a sphere of self-created constraints, we spin round and round. Yet, none of us have forgotten how to play. Every year there's one week where we create a place to meet new circles of trust, comfort, and love by letting go of the circles we know. Our theme camp will be the embodiment of these new circles. In search of a journey that will intertwine old and new circles, we hope to bring play to Afrika Burn. We will provide some dazzling drawing machines, that will allow people to create their new reality. Resulting in mesmerizing artworks, intimate parties and random acts of craziness. We will offer small day or evening DJ sessions with ethno-techno, disco and lounge, fitting the growing artwork that our camp will become. Some live musicians will bring sing and play to set an atmosphere to relax and enjoy the art every now and then. And of course our yoga sessions in the dome, as well as the much celebrated Poffertjes will be back to draw the many to the camp. Check our blackboard for daily activities. 

Every day: Create dazzling art on our Spirograph drawing machines

Tuesday, Thursday, Friday: 10ish Meditational Yoga 

Tuesday 17:00 – 22:00	Ode to Eclipse opening party

Thursday 17:00 – 22:00 	Sundown DJ sets

Saturday:	Sundown closing party","Day: TuesdayStart Hour: 17Finish time: 22Description: Ode to Eclipse opening party. The guys from Ode Radio bringing ethno-techno to the Burn! Intimate atmosphere on our dome dancing floor., Day: ThursdayStart Hour: 17Finish time: 22Description: Sundown DJ sets, Day: TuesdayStart Hour: 10Finish time: 11Description: Morning 10ish Meditational Yoga, Day: ThursdayStart Hour: 10Finish time: 11Description: Morning 10ish Meditational Yoga , Day: FridayStart Hour: 10Finish time: 11Description: Morning 10ish Meditational Yoga, Description: All day every day: Make your dazzling art on our Spirograph drawing machines. New paper feeds everyday halfway the morning and start of the evening, Description: Throughout the week: Random events announced on our backboard. Enjoy our poffertjes, listen to live music, Make Captain Knut masks, Lucky shots, Hoolahoop contest, Pop-up Acro Yoga classes and many more. Walk past and find out!, Day: SaturdayStart Hour: 17Finish time: 22Description: Sundown closing party. Spiral away in our camp.","Everything turns, rotates, spins, circles, loops, pulsates, resonates, and repeats. Circles of life, born from pulses of light. Vibrate to breathe, while spiralling outwards for infinity through the lens of time and into a sea of stars and lucid dreams. Our camp will have dazzling drawing machines, resulting in mesmerizing artworks, intimate parties and random acts of craziness. Check our blackboard for daily activities. 

Every day: Create dazzling art on our Spirograph drawing machines

Tuesday, Thursday, Friday: 10ish Meditational Yoga 

Tuesday 17:00 – 22:00	Camp Eclipse opening party

Thursday 17:00 – 22:00 	Sundown DJ sets

Saturday:	Closing party","Theme Camp Form 3 - WTF Guide","","",""
"6240","Skip the camel ","","","stop staring at my toe ","","stop staring at my toe!!! ","Mutant Vehicles","","",""
"6239","Theme Camp Form 3 - WTF Guide 6239","","Musical Collaberation","We are gypsies who breathe music – it is our air and our water (but not our beer, that’s film). We offer an open stage for everyone who wants to play an instrument with others. We have instruments and amplification for daily afternoon jam sessions. Everyone is invited to come play! Early evening we open up for live electronics, video projections and ambient DJ sets, to ease into the evening.","Day: MondayStart Hour: 15Finish time: 16Description: We have instruments and amplification. Come and play at our afternoon jam session!, Day: MondayStart Hour: 19Finish time: 20Description: Live electronics, video projections and ambient DJ sets, to ease into the evening., Day: TuesdayStart Hour: 15Finish time: 16Description: We have instruments and amplification. Come and play at our afternoon jam session!, Day: TuesdayStart Hour: 19Finish time: 20Description: Live electronics, video projections and ambient DJ sets, to ease into the evening., Day: WednesdayStart Hour: 15Finish time: 16Description: We have instruments and amplification. Come and play at our afternoon jam session!, Day: WednesdayStart Hour: 19Finish time: 20Description: Live electronics, video projections and ambient DJ sets, to ease into the evening., Day: ThursdayStart Hour: 15Finish time: 16Description: We have instruments and amplification. Come and play at our afternoon jam session!, Day: ThursdayStart Hour: 19Finish time: 20Description: Live electronics, video projections and ambient DJ sets, to ease into the evening., Day: FridayStart Hour: 15Finish time: 16Description: We have instruments and amplification. Come and play at our afternoon jam session!, Day: FridayStart Hour: 19Finish time: 20Description: Live electronics, video projections and ambient DJ sets, to ease into the evening., Day: SaturdayStart Hour: 15Finish time: 16Description: We have instruments and amplification. Come and play at our afternoon jam session!, Day: SaturdayStart Hour: 19Finish time: 20Description: Live electronics, video projections and ambient DJ sets, to ease into the evening.","We are gypsies who breathe music – it is our air and our water (but not our beer, that’s film). We offer an open stage for everyone who wants to play an instrument with others. We have instruments and amplification for daily afternoon jam sessions. Everyone is invited to come play! Early evening we open up for live electronics, video projections and ambient DJ sets, to ease into the evening.","Theme Camp Form 3 - WTF Guide","","",""
"6237","Theme Camp Form 3 - WTF Guide 6237","","Family Friendly, Party / Gathering, Workshop / Class","Life is one long insane trip. Some people just have better directions… and we have some suggestions.

“If a Tangent Universe occurs, it will be highly unstable, sustaining itself for no longer than several weeks.” So here’s our offering; a nonrestrictive, creative space to exist in for as long as the Burn allows. A camp for knowledge and culture, creating a sanctuary for burners to both lose and expand their minds. Share in the passion we have for literature, art, music and film that has helped us along the path of existence. You might be surprised at what you discover.

Open daily 9am-1am: Morning Dance Classes, Poetry/Book Readings, Craft Classes, Films and Music (See camp board for details)","Start Hour: 9Finish time: 10Description: 9ish: Our camp dancer will be leading interpretive/improv dance classes (See camp board for details)., Start Hour: 13Finish time: 16Description: 1pm - 4pm: Alternating between chain mail and leather craft sessions or Poetry/Book reading and sketching sessions (See camp board for details).
, Start Hour: 18Finish time: 20Description: 6ish: Daily film showing (See camp board for details). , Start Hour: 20Finish time: 23Description: 8ish-11ish nightly: Classic tunes from our in-house DJ. There will also be LED hula hoops available to play with at this time.","“If a Tangent Universe occurs, it will be highly unstable, sustaining itself for no longer than several weeks.” So here’s our offering; a nonrestrictive, creative space to exist in for as long as the Burn allows. A camp for knowledge and culture, creating a sanctuary for burners to both lose and expand their minds. Share in the passion we have for literature, art, music and film that has helped us along the path of existence. You might be surprised at what you discover.

Open daily 9am-1am: Morning Dance Classes, Poetry/Book Readings, Craft Classes, Films and Music (See camp board for details)

","Theme Camp Form 3 - WTF Guide","","",""
"6235","The Plucked Porcupine","","","The Plucked Porcupine welcomes you to hop on and hop of our little porcupine if you see it crossing your path.  The Mother Plucker driver will get you safely to your destination as well as quench your thirst with our Porcupine Punch.","","The Plucked Porcupine welcomes you to hop on and hop of our little porcupine if you see it crossing your path.  The Mother Plucker driver will get you safely to your destination as well as quench your thirst with our Porcupine Punch.","Mutant Vehicles","","",""
"6232","Theme Camp Form 3 - WTF Guide 6232","","Care and Support","Your bike tire is flat? Handlebars came off? Car just won't start? Drove your scooter into an artwork/ditch? If you have something mechanical that's in need of a spanner-ing then bring it to us and we'll try to fix it or show you how. We're a team of mechanical enthusiasts with a passion for metal and lube. Welcome to Tankwa Town's very own workshop - The Infernal Greasemonkeys! 

Open 10am-3pm daily.","","Your bike tire is flat? Handlebars came off? Car just won't start? Drove your scooter into an artwork/ditch? If you have something mechanical that's in need of a spanner-ing then bring it to us and we'll try to fix it or show you how. We're a team of mechanical enthusiasts with a passion for metal and lube. Welcome to Tankwa Town's very own workshop - The Infernal Greasemonkeys! 

Open 10am-3pm daily.
","Theme Camp Form 3 - WTF Guide","","",""
